,symbol,common_name,scientific_name,species,state_and_province,category,family,family_common_name,duration,growth_habit,native_status,invasive,active_growth_period,after_harvest_regrowth_rate,fall_conspicuous,fire_resistance,flower_color,flower_conspicuous,foliage_color,fruit_conspicuous,growth_form,growth_rate,height_at_base_age_maximum_feet,height_mature_feet,leaf_retention,lifespan,resprout_ability,shape_and_orientation,toxicity,adapted_to_coarse_textured_soils,adapted_to_medium_textured_soils,adapted_to_fine_textured_soils,anaerobic_tolerance,cacosub3sub_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_minimum,ph_maximum,planting_density_per_acre_minimum,planting_density_per_acre_maximum,precipitation_minimum,precipitation_maximum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruitseed_abundance,fruitseed_period_begin,fruitseed_period_end,fruitseed_persistence,propogated_by_bare_root,propogated_by_bulbs,propogated_by_container,propogated_by_corms,propogated_by_cuttings,propogated_by_seed,propogated_by_sod,propogated_by_sprigs,propogated_by_tubers,seeds_per_pound,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,berrynutseed_product,christmas_tree_product,fodder_product,fuelwood_product,lumber_product,naval_store_product,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,post_product,protein_potential,pulpwood_product,veneer_product
51117,LOPR7,,Lolium pratense,pratense,,,,,,,,,Summer and Fall,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,2,No,Short,No,Decumbent,None,No,Yes,No,Low,Medium,No,Medium,High,Medium,120,None,Medium,5.5,8.5,,,33,50,12,Low,Intermediate,-23,Early Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,250000,Slow,High,No,None,No,No,Yes,,No,No,No,Low,Medium,No,No,Medium,No,No
51156,LORI,Wimmera ryegrass,Lolium rigidum,rigidum,"USA (AZ, CA, LA, MO, MS, OR, TX), CAN (MB)",Monocot,Poaceae,Grass family,Annual,Graminoid,"L48 (I), CAN (I)",,"Fall, Winter and Spring",Rapid,No,No,Yellow,No,Green,No,Bunch,Rapid,,3.5,No,,No,Erect,None,Yes,Yes,Yes,None,Medium,No,Low,High,Low,200,None,High,5.5,7.5,,,15,60,10,High,Intolerant,12,Early Spring,Routinely Available,High,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,217000,Slow,High,No,None,No,No,Yes,,No,No,No,Low,Medium,No,No,Medium,No,No
51273,LOTA,Tatarian honeysuckle,Lonicera tatarica,tatarica,"USA (AK, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, MB, NB, NS, ON, QC, SK)",Dicot,Caprifoliaceae,Honeysuckle family,Perennial,Shrub,"L48 (I), AK (I), CAN (I)","N'EAST, STATE, WI",Spring and Summer,,No,No,Red,Yes,Green,Yes,Multiple Stem,Rapid,9,9,No,Moderate,Yes,Erect,None,Yes,Yes,No,None,Medium,Yes,Medium,Medium,High,120,Medium,Medium,5.2,7.5,700,1200,32,50,16,Medium,Intermediate,-38,Mid Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,142000,Moderate,Medium,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
51301,LOTR2,nineleaf biscuitroot,Lomatium triternatum,triternatum,"USA (CA, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)",Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Moderate,,2.2,No,Moderate,No,Erect,None,Yes,Yes,No,None,Medium,Yes,Low,Low,Medium,120,None,Medium,6.5,8.8,,,8,20,20,Low,Intermediate,-33,Early Spring,Contracting Only,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,64,Slow,Medium,No,None,No,No,Yes,,No,No,No,Low,Medium,Yes,No,Low,No,No
51318,LOUT2,Utah honeysuckle,Lonicera utahensis,utahensis,"USA (AZ, ID, MT, NM, OR, UT, WA, WY), CAN (AB, BC)",Dicot,Caprifoliaceae,Honeysuckle family,Perennial,Shrub,"L48 (N), CAN (N)",,Spring and Summer,,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Rapid,2,5,No,Moderate,Yes,Erect,Slight,No,Yes,Yes,None,Low,Yes,None,Low,Medium,120,None,High,6,8,100,200,24,60,12,None,Tolerant,-23,Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,190000,Moderate,Medium,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
51352,LOWR,Wright's deervetch,Lotus wrightii,wrightii,"USA (AZ, CO, NM, UT)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Slow,,1,No,Moderate,No,Erect,None,Yes,Yes,No,None,Low,No,High,Low,Low,130,None,Low,6,8,,,12,30,12,Low,Intermediate,-3,Mid Spring,Field Collections Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,300000,Slow,Low,No,None,No,No,Yes,,No,No,No,High,Medium,No,No,Medium,No,No
51393,LUAL22,white lupine,Lupinus albus,albus,USA (FL),Dicot,Fabaceae,Pea family,Annual,Forb/herb,L48 (I),,"Fall, Winter and Spring",Slow,Yes,No,White,Yes,Green,Yes,Single Crown,Rapid,,4,No,,No,Erect,Moderate,Yes,Yes,No,None,None,No,Low,Medium,None,180,None,Medium,5.6,7.5,,,35,70,10,Low,Intolerant,-1,Late Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,1979,Moderate,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
51394,LUAL3,sicklekeel lupine,Lupinus albicaulis,albicaulis,"USA (CA, OR, WA)",Dicot,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,"Fall, Winter and Spring",Slow,Yes,No,Blue,Yes,Green,Yes,Single Crown,Rapid,,3,No,,No,Erect,Moderate,Yes,Yes,Yes,None,None,No,Low,Medium,None,180,None,Medium,6,7,,,35,60,10,None,Intolerant,47,Late Summer,Routinely Available,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,1900,Moderate,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
51396,LUAL5,Great Basin lupine,Lupinus ×alpestris,alpestris,"USA (AZ, CA, CO, ID, MT, NE, NM, NV, UT, WY)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,Purple,Yes,Gray-Green,No,Single Crown,Slow,,2.2,No,Long,No,Erect,Moderate,Yes,Yes,No,None,Low,No,High,Low,High,120,None,Low,5.7,7.5,,,12,20,14,Low,Intolerant,-38,Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,16000,Slow,Low,No,None,No,No,Yes,,No,No,No,Medium,Medium,No,No,Medium,No,No
51430,LUAN4,narrowleaf lupine,Lupinus angustifolius,angustifolius,"USA (FL, GA, ME), CAN (BC)",Dicot,Fabaceae,Pea family,Annual,Forb/herb,"L48 (I), CAN (W)",,"Fall, Winter and Spring",Slow,Yes,No,Blue,Yes,Green,Yes,Single Crown,Rapid,,4,No,,No,Erect,Moderate,Yes,Yes,No,None,None,No,Low,Medium,None,180,None,Medium,5.6,7.5,,,35,60,10,None,Intolerant,21,Late Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,2501,Moderate,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
51442,LUAR,yellow bush lupine,Lupinus arboreus,arboreus,"USA (CA, OR, WA), CAN (BC)",Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Shrub","L48 (N), CAN (I)",Cal-IPC,"Fall, Winter and Spring",,Yes,No,Yellow,Yes,Green,No,Single Stem,Moderate,6,6,Yes,Moderate,Yes,Erect,None,Yes,Yes,No,None,Low,No,High,Low,Medium,240,None,Low,6,7.5,700,2700,16,30,10,Medium,Intolerant,22,Mid Spring,No Known Source,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,9000,Slow,Low,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
51450,LUAR3,silvery lupine,Lupinus argenteus,argenteus,"USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK)",Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Spring and Summer,Rapid,No,No,Blue,Yes,Gray-Green,Yes,Multiple Stem,Rapid,,1.5,No,Short,No,Erect,Severe,Yes,Yes,Yes,None,Medium,No,Medium,Low,Low,180,High,Low,7,8,700,2700,10,45,6,None,Intolerant,-43,Late Summer,Contracting Only,High,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,126000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
51588,LUCA,tailcup lupine,Lupinus caudatus,caudatus,"USA (AZ, CA, CO, ID, MT, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,5,No,Short,No,Erect,Severe,Yes,Yes,No,None,High,No,Medium,Low,Medium,120,High,Low,7,8,700,2700,19,69,6,None,Intolerant,-28,Summer,Contracting Only,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,18000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
51648,LUCO4,shaggy lupine,Lupinus covillei,covillei,USA (CA),Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,10,No,Short,No,Semi-Erect,Severe,No,Yes,Yes,Medium,Low,No,None,Low,Low,320,High,High,6.5,7,700,2700,13,35,6,None,Intolerant,23,Late Summer,No Known Source,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,125000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
51752,LUEL2,Elmer's lupine,Lupinus elmeri,elmeri,USA (CA),Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Moderate,No,No,Purple,Yes,Green,No,Multiple Stem,Moderate,,1.5,No,Short,No,Erect,None,No,Yes,Yes,None,Low,No,Low,Medium,Medium,90,None,Medium,6,7.2,,,30,60,10,None,Intermediate,-33,Mid Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,10000,Slow,Low,No,None,No,No,No,,No,No,No,Medium,Medium,No,No,Medium,No,No
51754,LUEL4,elegant lupine,Lupinus elegans,elegans,,Dicot,Fabaceae,Pea family,,,,,"Fall, Winter and Spring",,Yes,No,Blue,Yes,Green,Yes,Single Crown,Rapid,,3,No,Short,No,Erect,Moderate,No,Yes,Yes,None,None,No,Low,Medium,None,180,,Medium,6,7,,,35,60,10,None,Intolerant,47,Late Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,2200,Moderate,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
51832,LUHA,Big Bend bluebonnet,Lupinus havardii,havardii,USA (TX),Dicot,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,"Spring, Summer, Fall",Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,20,No,,No,Erect,None,Yes,Yes,No,None,High,No,High,Low,High,240,High,Low,7.5,8,700,2700,8,20,6,None,Intermediate,-23,Early Spring,No Known Source,Medium,Spring,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,19000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
51914,LULA4,broadleaf lupine,Lupinus latifolius,latifolius,"USA (AZ, CA, NM, NV, OR, UT, WA)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Summer and Fall,Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,25,No,Short,No,Erect,Severe,No,Yes,Yes,High,Low,No,None,Low,Low,150,High,High,6.5,7,700,2700,10,15,6,None,Tolerant,-18,Mid Spring,No Known Source,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,34600,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
51951,LULE2,Pacific lupine,Lupinus lepidus,lepidus,"USA (AK, OR, WA), CAN (BC)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N)",,Spring and Summer,Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,6,No,Short,No,Prostrate,Severe,Yes,Yes,No,None,Medium,No,High,Low,Medium,150,High,Low,7,8,700,2700,10,15,6,None,Intolerant,-18,Early Summer,No Known Source,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,16000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
52015,LULU80,European yellow lupine,Lupinus luteus,luteus,USA (FL),Dicot,Fabaceae,Pea family,Annual,Forb/herb,L48 (I),,"Fall, Winter and Spring",Slow,Yes,No,Yellow,Yes,Green,Yes,Single Crown,Rapid,,2,No,,No,Erect,Moderate,Yes,Yes,No,None,None,No,Low,Medium,None,180,None,Medium,5.6,7,,,35,60,10,None,Intolerant,23,Late Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,3600,Moderate,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
52127,LUNE,Nevada lupine,Lupinus nevadensis,nevadensis,"USA (CA, NV, OR)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring,Slow,No,No,Blue,Yes,White-Gray,No,Single Crown,Slow,,1.2,No,Moderate,No,Erect,Slight,Yes,Yes,No,None,Medium,No,High,Low,Medium,120,None,Medium,6.4,8,,,10,18,10,Low,Intolerant,-23,Mid Spring,No Known Source,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,10000,Slow,Low,No,None,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
52321,LUSE4,silky lupine,Lupinus sericeus,sericeus,"USA (AZ, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Spring and Summer,Rapid,No,No,Blue,Yes,Green,Yes,Multiple Stem,Rapid,,6,No,Short,No,Erect,Severe,Yes,Yes,No,None,Medium,No,High,Low,Medium,200,High,Low,7,7.5,700,2700,5,11,6,None,Intolerant,-28,Early Summer,No Known Source,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,24550,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
52408,LUSU5,sulphur lupine,Lupinus sulphureus,sulphureus,"USA (OR, WA), CAN (BC)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Rapid,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Rapid,,10,No,Short,No,Erect,Slight,Yes,Yes,No,None,Medium,No,High,Low,Medium,120,High,Low,6.5,7.5,700,2700,24,60,6,None,Intolerant,-33,Early Summer,No Known Source,Medium,Spring,Fall,No,No,No,Yes,No,No,Yes,No,No,No,25000,Rapid,High,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Medium,No,No
52844,LYPA,pale desert-thorn,Lycium pallidum,pallidum,"USA (AZ, CA, CO, NM, NV, OK, TX, UT)",Dicot,Solanaceae,Potato family,Perennial,Shrub,L48 (N),,Summer,,Yes,No,Purple,Yes,Green,Yes,Multiple Stem,Moderate,8,6,No,Moderate,No,Rounded,None,Yes,Yes,No,None,High,No,High,Low,Low,140,High,Medium,7,8.5,50,600,10,15,12,Low,Intolerant,-13,Early Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5000,Slow,Medium,No,None,Yes,No,No,,No,No,Yes,Low,Low,Yes,No,Low,No,No
53145,MABIB,Bigelow's tansyaster,Machaeranthera bigelovii var. bigelovii,bigelovii,"USA (CO, NM, OK, WY)",Dicot,Asteraceae,Aster family,"Biennial, Perennial",Forb/herb,L48 (N),,Spring and Summer,,Yes,No,Purple,Yes,Green,No,Multiple Stem,Rapid,,4,No,Short,No,Erect,None,Yes,Yes,Yes,None,High,No,High,Low,,160,None,Low,6,8.5,,,6,18,6,None,Intolerant,32,Fall,Routinely Available,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,70000,Rapid,High,No,None,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
53414,MAFL80,Japanese flowering crab apple,Malus floribunda,floribunda,"USA (CT, DC, KS, LA, MA, NJ, NY, OH, OR, PA, VA)",Dicot,Rosaceae,Rose family,Perennial,"Tree, Shrub",L48 (I),,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Single Stem,Moderate,20,25,No,Moderate,Yes,Erect,None,No,Yes,Yes,None,Medium,Yes,Medium,Medium,High,130,Medium,Medium,5,7.8,300,1200,32,60,30,None,Intolerant,-43,Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,59000,Slow,High,No,None,No,No,No,Medium,No,No,Yes,Low,Medium,Yes,No,Low,No,No
53569,MAIO,prairie crab apple,Malus ioensis,ioensis,"USA (AR, IA, IL, IN, KS, KY, LA, MI, MN, MO, NE, NJ, OH, OK, SD, TX, WI)",Dicot,Rosaceae,Rose family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Single Stem,Moderate,20,25,No,Moderate,Yes,Irregular,None,Yes,Yes,Yes,None,High,Yes,High,Medium,Low,140,Low,Medium,5,7,300,1200,30,45,30,None,Intolerant,-28,Mid Spring,Contracting Only,Medium,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,30000,Slow,Medium,No,Slow,Yes,No,No,Medium,No,No,Yes,High,Low,No,No,Low,No,No
53747,MANE2,Cascade barberry,Mahonia nervosa,nervosa,"USA (CA, ID, OR, SC, WA), CAN (BC)",Dicot,Berberidaceae,Barberry family,Perennial,"Subshrub, Shrub","L48 (N), CAN (N)",,Spring and Summer,,Yes,No,Yellow,Yes,Dark Green,Yes,Rhizomatous,Slow,2,2,Yes,Long,Yes,Erect,None,Yes,Yes,No,None,Low,Yes,High,Low,High,180,Low,Low,5,7.5,1200,2700,30,60,16,None,Tolerant,-18,Mid Spring,Contracting Only,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,23000,Slow,Medium,No,Moderate,No,No,No,,No,No,Yes,Medium,Low,No,No,Low,No,No
53869,MAPO,osage orange,Maclura pomifera,pomifera,"USA (AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV), CAN (ON)",Dicot,Moraceae,Mulberry family,Perennial,"Tree, Shrub","L48 (N), CAN (I)",,Spring and Summer,,No,No,Green,No,Green,Yes,Single Stem,Moderate,20,35,No,Long,Yes,Erect,None,Yes,Yes,No,None,High,Yes,Medium,Medium,Medium,180,Medium,Medium,4.5,7.5,300,800,24,40,32,Low,Intolerant,-23,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,7000,Slow,Medium,No,None,No,No,No,High,No,No,Yes,Low,Low,No,Yes,Low,No,No
53943,MARE11,creeping barberry,Mahonia repens,repens,"USA (AZ, CA, CO, DE, ID, IN, MN, MT, ND, NE, NM, NV, OR, PA, SD, TX, UT, WA, WY), CAN (AB, BC, ON)",Dicot,Berberidaceae,Barberry family,Perennial,"Subshrub, Shrub","L48 (N), CAN (N)",,Spring,,Yes,No,Yellow,Yes,Green,Yes,Stoloniferous,Slow,2,2,Yes,Long,Yes,Semi-Erect,None,No,Yes,No,None,Medium,Yes,High,Medium,High,180,Medium,Medium,5.5,7.5,700,1700,15,45,10,Low,Tolerant,-23,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,66560,Slow,High,No,Slow,No,No,No,,No,No,Yes,Medium,Low,No,No,Low,No,No
53995,MASA9,Sargent's apple,Malus sargentii,sargentii,USA (WA),Dicot,Rosaceae,Rose family,Perennial,Shrub,L48 (I),,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Multiple Stem,Moderate,10,10,No,Moderate,Yes,Semi-Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,Low,100,Medium,Medium,5.5,7.5,300,1700,30,60,30,Low,Intolerant,-33,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,70000,Slow,Medium,No,None,No,No,No,Medium,No,No,Yes,Medium,Low,No,No,Medium,No,No
54041,MASI80,,Malus sieboldii,sieboldii,,,,,,,,,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Multiple Stem,Moderate,15,25,No,Moderate,Yes,Rounded,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,Low,90,Low,Medium,5.3,7.5,300,1700,30,60,30,Low,Intolerant,-33,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,77000,Slow,Medium,No,None,No,No,No,Medium,No,No,Yes,Medium,Low,No,No,Medium,No,No
54045,MASIZ,,Malus sieboldii var. zumi,sieboldii,,,,,,,,,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Single Stem,Moderate,20,25,No,Moderate,Yes,Erect,None,No,Yes,Yes,None,Medium,Yes,Medium,Medium,Low,100,Medium,Medium,4.8,7.5,300,1700,50,60,30,None,Intermediate,-33,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,55000,None,High,No,None,No,No,No,Medium,No,No,Yes,High,Low,No,No,Low,No,No
54188,MAVI2,sweetbay,Magnolia virginiana,virginiana,"USA (AL, AR, DC, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TN, TX, VA)",Dicot,Magnoliaceae,Magnolia family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,No,Yes,White,Yes,Dark Green,Yes,Single Stem,Moderate,40,60,Yes,Moderate,Yes,Climbing,None,Yes,Yes,Yes,Low,None,Yes,None,Medium,None,180,Medium,High,5,6.9,300,800,40,80,30,None,Intermediate,17,Summer,Routinely Available,Medium,Summer,Winter,No,Yes,No,Yes,No,Yes,Yes,No,No,No,7530,Slow,Low,No,None,No,No,No,Low,No,No,Yes,High,,No,No,Medium,Yes,Yes
54375,MEBU,oniongrass,Melica bulbosa,bulbosa,"USA (CA, CO, ID, MT, NV, OR, SD, TX, UT, WA, WY), CAN (BC, SK)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,1.8,No,Moderate,No,Erect,None,Yes,Yes,Yes,None,Medium,No,High,Low,High,100,None,Low,5.5,8,,,20,35,12,Low,Intermediate,-43,Late Spring,Field Collections Only,Low,Summer,Summer,No,No,Yes,No,No,No,Yes,No,No,No,200000,Slow,Low,No,None,No,No,Yes,,No,No,No,High,Medium,No,No,Low,No,No
54390,MECA2,California melicgrass,Melica californica,californica,"USA (CA, OR)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,4,No,Short,No,Semi-Erect,None,Yes,Yes,No,Low,Low,No,Medium,Low,High,240,None,Low,6,7.5,,,14,24,10,None,Intermediate,7,Summer,Contracting Only,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,300000,Slow,Low,No,Slow,No,No,Yes,,No,No,No,Medium,High,No,No,Low,No,No
54416,MECI3,tall fringed bluebells,Mertensia ciliata,ciliata,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WY)",Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,Blue,Yes,Green,No,Rhizomatous,Moderate,,2,No,Moderate,No,Erect,None,Yes,Yes,No,Medium,Low,Yes,Low,High,Medium,100,None,High,6.2,7.2,1700,4800,12,65,10,None,Intermediate,-23,Late Spring,Contracting Only,Medium,Summer,Fall,Yes,Yes,No,No,No,Yes,Yes,No,No,No,225000,Slow,Low,No,Slow,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
54658,MEIM,smallflower melicgrass,Melica imperfecta,imperfecta,"USA (AZ, CA, NV)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,Spring,Slow,No,No,Yellow,No,Green,No,Stoloniferous,Moderate,,3.2,No,Moderate,No,Semi-Erect,None,Yes,Yes,No,None,Medium,No,High,Low,High,340,None,Low,6,7.8,2700,4800,9,16,12,Low,Intolerant,27,Early Spring,Contracting Only,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,Yes,No,700000,Slow,Medium,No,Slow,No,No,Yes,,No,No,No,Low,Low,No,No,Low,No,No
54669,MEIN14,,Melilotus indica,indica,,,,,,,,,"Fall, Winter and Spring",Moderate,No,No,Yellow,Yes,Green,No,Single Crown,Rapid,,2.5,No,,No,Erect,Moderate,No,Yes,No,None,Medium,No,Medium,Medium,Medium,130,None,Medium,6.1,8.2,,,16,55,14,Low,Intolerant,20,Early Spring,No Known Source,High,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,300320,Rapid,High,No,None,No,No,Yes,,No,No,No,Medium,Medium,No,No,Medium,No,No
55143,MESC,rough menodora,Menodora scabra,scabra,"USA (AZ, CA, CO, NM, NV, TX, UT)",Dicot,Oleaceae,Olive family,Perennial,"Subshrub, Forb/herb",L48 (N),,Spring and Summer,,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Rapid,1,1,No,Moderate,Yes,Erect,None,Yes,Yes,No,None,High,No,High,Low,None,260,Medium,Low,6.6,8.4,1700,4800,5,18,12,Low,Intolerant,18,Early Summer,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,107000,Moderate,High,No,None,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
55182,MESP,purple oniongrass,Melica spectabilis,spectabilis,"USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Purple,No,Green,No,Rhizomatous,Moderate,,2.5,No,Moderate,No,Erect,None,No,Yes,Yes,None,Low,No,High,Low,High,110,None,Low,6,7.5,2700,4800,12,30,10,Low,Intermediate,-33,Late Spring,Field Collections Only,Low,Summer,Summer,No,No,Yes,No,No,No,Yes,No,No,No,556000,Slow,Low,No,Slow,No,No,Yes,,No,No,No,Medium,High,No,No,Low,No,No
